property_type,region,area_m2,price_usd,state,lat,lon
apartment,Northeast,110.0,187230.85,,,
apartment,Northeast,65.0,81133.37,,,
house,Northeast,211.0,154465.45,,,
apartment,Northeast,99.0,146013.2,,,
apartment,Northeast,55.0,101416.71,,,
apartment,Northeast,56.0,75727.07,,,
apartment,Northeast,68.0,110916.18,,,
apartment,Northeast,187.0,249641.14,,,
apartment,Northeast,90.0,115459.02,,,
apartment,Northeast,137.0,361979.65,,,
apartment,Northeast,101.0,131061.59,,,
house,Northeast,140.0,99856.45,,,
apartment,Northeast,250.0,466625.47,,,
apartment,Northeast,136.0,162941.08,,,
apartment,Northeast,145.0,200197.52,,,
apartment,Northeast,138.0,188295.26,,,
apartment,Northeast,175.0,405666.85,,,
apartment,Northeast,122.0,187230.85,,,
apartment,Northeast,98.0,118579.54,,,
apartment,Northeast,107.0,183069.25,,,
apartment,Northeast,68.0,86366.47,,,
apartment,Northeast,118.0,199559.38,,,
apartment,Northeast,205.0,106050.67,,,
apartment,Northeast,130.0,209074.45,,,
apartment,North,93.0,148349.22,,,
apartment,North,117.0,249641.14,,,
house,North,110.0,118579.54,,,
house,North,80.0,78012.85,,,
house,Northeast,138.0,93615.42,,,
house,Northeast,202.0,154465.45,,,
apartment,Northeast,120.0,87374.39,,,
house,Northeast,202.0,154465.45,,,
apartment,Northeast,82.0,87374.39,,,
apartment,Northeast,88.0,168507.77,,,
house,Northeast,202.0,154465.45,,,
apartment,Northeast,127.0,202833.42,,,
house,Northeast,240.0,374461.71,,,
apartment,Northeast,139.0,202521.37,,,
apartment,Northeast,139.0,205641.88,,,
apartment,Northeast,139.0,327341.94,,,
house,Northeast,191.0,131061.59,,,
apartment,Northeast,84.0,109217.99,,,
apartment,Northeast,57.0,93303.37,,,
apartment,Northeast,182.0,468077.13,,,
apartment,Northeast,115.0,205953.94,,,
apartment,Northeast,105.0,106097.48,,,
apartment,Northeast,108.0,102976.97,,,
apartment,Northeast,72.0,143408.53,,,
apartment,Northeast,54.0,121388.0,,,
apartment,Northeast,55.0,89558.75,,,
apartment,Northeast,70.0,154465.45,,,
apartment,Northeast,107.0,190351.36,,,
apartment,Northeast,186.0,414965.98,,,
apartment,Northeast,90.0,177025.52,,,
apartment,Northeast,55.0,98296.19,,,
apartment,Northeast,225.0,390064.28,,,
apartment,Northeast,54.0,79573.11,,,
apartment,Northeast,225.0,254587.15,,,
apartment,Northeast,75.0,177931.09,,,
apartment,Northeast,75.0,107713.59,,,
apartment,Northeast,243.0,470485.55,,,
house,Northeast,99.0,87374.39,,,
apartment,Northeast,68.0,137302.62,,,
apartment,Northeast,66.0,122436.49,,,
apartment,Northeast,63.0,121127.12,,,
apartment,Northeast,90.0,204926.35,,,
apartment,Northeast,76.0,140423.14,,,
apartment,Northeast,83.0,153352.36,,,
apartment,Northeast,76.0,99856.45,,,
house,Northeast,70.0,78012.85,,,
apartment,Northeast,67.0,137674.59,,,
apartment,Northeast,56.0,99683.89,,,
apartment,Northeast,83.0,221393.62,,,
apartment,Northeast,83.0,206020.72,,,
apartment,Northeast,90.0,292482.05,,,
apartment,Northeast,89.0,149507.27,,,
apartment,Northeast,70.0,164886.72,,,
apartment,Northeast,61.0,121700.05,,,
apartment,Northeast,122.0,187230.85,,,
apartment,Northeast,80.0,132517.0,,,
apartment,Northeast,240.0,343256.56,,,
apartment,Northeast,106.0,171628.28,,,
apartment,Northeast,132.0,348481.86,,,
apartment,Northeast,133.0,267153.15,,,
apartment,Northeast,76.0,165948.63,,,
apartment,Northeast,76.0,173566.12,,,
apartment,Northeast,100.0,81133.37,,,
apartment,Northeast,66.0,131061.59,,,
apartment,Northeast,93.0,109217.99,,,
house,Northeast,120.0,81133.37,,,
apartment,Northeast,110.0,112338.51,,,
house,Northeast,151.0,118579.54,,,
apartment,Northeast,85.0,90494.91,,,
apartment,Northeast,115.0,152905.19,,,
apartment,Northeast,58.0,109217.99,,,
apartment,Northeast,191.0,207514.19,,,
apartment,Northeast,170.0,202833.42,,,
apartment,Northeast,67.0,215647.81,,,
apartment,Northeast,185.0,138862.88,,,
apartment,Northeast,56.0,81133.37,,,
apartment,Northeast,95.0,109217.99,,,
apartment,Northeast,120.0,112338.51,,,
apartment,Northeast,110.0,112338.51,,,
apartment,Northeast,110.0,118579.54,,,
apartment,Northeast,114.0,241839.85,,,
apartment,Northeast,98.0,155713.66,,,
apartment,Northeast,83.0,134119.7,,,
apartment,Northeast,102.0,190507.39,,,
apartment,Northeast,63.0,196592.39,,,
apartment,Northeast,80.0,99856.45,,,
apartment,Northeast,120.0,84253.88,,,
apartment,Northeast,115.0,115459.02,,,
apartment,Northeast,80.0,107657.74,,,
apartment,Northeast,80.0,92991.32,,,
apartment,Northeast,70.0,87374.39,,,
apartment,Northeast,143.0,202833.42,,,
house,Northeast,140.0,106097.48,,,
house,Northeast,197.0,148224.42,,,
apartment,Northeast,114.0,152905.19,,,
apartment,Northeast,95.0,101416.71,,,
apartment,Northeast,90.0,109217.99,,,
apartment,Northeast,152.0,327653.99,,,
house,Northeast,66.0,171628.28,,,
apartment,Northeast,244.0,187230.85,,,
apartment,Northeast,206.0,374461.71,,,
apartment,Northeast,195.0,243400.11,,,
house,Northeast,110.0,93615.42,,,
apartment,Northeast,151.0,143543.65,,,
apartment,Northeast,125.0,90463.7,,,
apartment,Northeast,70.0,74892.34,,,
apartment,Northeast,184.0,374461.71,,,
apartment,Northeast,106.0,118579.54,,,
apartment,Northeast,92.0,82693.62,,,
apartment,Northeast,115.0,177869.31,,,
apartment,Northeast,78.0,96735.94,,,
